-,"AC
        Type",AC Type,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3N33417,24   (passengers:21  crew:3),"September 15, 1957",12   (passengers:10  crew:2),285,0,"New Bedford, Massachusetts",Northeast Airlines,N33417,Martha's Vineyard - New Bedford,The aircraft struck trees to the right and short of the runway during approach in fog. The pilot attempted to make a visual approach by descending prematurely in the approach area without adherence to the prescribed ILS approach procedure which was dictated by existing weather conditions.,2046,1957,7337
ACCIDENT DETAILS,Convair CV-440-62,Convair CV-440-62PP-AQE,35   (passengers:30  crew:5),"September 18, 1957",1   (passengers:0  crew:1),?,0,"Montevideo,  Uruguay",REAL,PP-AQE,San Pablo - Porto Alegre - Montevideo,"Flying VFR, the aircraft encountered fog during the approach, undershot the runway and crashed. Pilot error.",2120,1957,456
ACCIDENT DETAILS,Let Aero 45S,Let Aero 45SVT-DHO,3   (passengers:0  crew:3),"September 27, 1957",3   (passengers:0  crew:3),?,0,"Bhiwandi, Maharashtra, India",èkoda (India) Ltd,VT-DHO,Bombay - Indore,"While in it's initial climb, the ferry /positioning  flight crashed soon after.",1130,1957,51198
ACCIDENT DETAILS,de Havilland DH-114 Heron,de Havilland DH-114 HeronG-AOFY,3   (passengers:0  crew:3),"September 28, 1957",3   (passengers:0  crew:3),?,0,"Islay-Glenegedale Airport, Scotland",British European Airways,G-AOFY,14099,"The pilot did not appreciate that the air ambulance had rapidly lost height whilst he was making a visual half circuit to land. This could not have been due to the absence of sufficient visual reference in the prevailing conditions of darkness, very low cloud and drizzle. The urgent nature of the flight is considered to have influenced the pilot's decision to land.",?,1957,14099
ACCIDENT DETAILS,Ilyushin IL-12,Ilyushin IL-12 CCCP-L1389,27   (passengers:22  crew:5),"October 01, 1957",27   (passengers:22  crew:5),11,0,"Akshi, Russia",Aeroflot,CCCP-L1389,Irkutsk - Chita,"While cruising by night, the crew lost his orientation and requested ATC assistance, without success. The airplane deviated from the prescribed flight path to the south and due to fuel exhaustion, the crew was forced to make an emergency landing. Following three unsuccessful attempts, the captain elected a fourth landing attempt when, at an altitude of 900 meters, the airplane clip trees, continued for about 340 meters and eventually crashed in a dense wooded area.",1855,1957,30 123
ACCIDENT DETAILS,Curtiss C-46A-45-CU,Curtiss C-46A-45-CUOD-ACK,27   (passengers:23  crew:4),"October 03, 1957",27   (passengers:23  crew:4),?,0,"Beirut, Lebanon",Lebanese International Airways,OD-ACK,Beirut - Kuwait City,"A few minutes after takeoff the crew informed ATC about a fire on board and elected to return. More than thirty minutes later, while at altitude of 2,000 meters, the aircraft lost height and crashed into the sea some 18 km off Beirut.",0155,1957,30249
ACCIDENT DETAILS,Douglas C-47A,Douglas C-47APP-VCS,2   (passengers:0  crew:2),"October 18, 1957",2   (passengers:0  crew:2),?,0,"Porto Alegre, Brazil",Varig,PP-VCS,Porto Alegre - Sao Paulo,"During the takeoff roll, the airplane started to skid and deviated from the centerline to the right. Incorrect use of flying controls during the takeoff roll.  Possible failure of left engine. Turbulent conditions close to ground.",?,1957,19757
ACCIDENT DETAILS,Vickers 802 Viscount,Vickers 802 ViscountG-AOJA,7   (passengers:5  crew:2),"October 23, 1957",7   (passengers:5  crew:2),?,0,"Belfast, Ireland",British European Airways,G-AOJA,London - Belfast,"While attempting to land at Belfast, in poor weather, the plane drifted to the right of the runway, overshot the runway and crashed. Cause unknown.",1651,1957,150
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3EC-ACH,21   (passengers:17  crew:4),"October 28, 1957",21   (passengers:17  crew:4),?,0,"Madrid, Spain",Iberia Airlines,EC-ACH,Tanger - Madrid,"Intense fire in the No.1 engine while en route, caused by foreign objects entering from the nacelle.",1805,1957,19332
ACCIDENT DETAILS,Fairchild C-82A,Fairchild C-82AXA-LIW,3   (passengers:0  crew:3),"October 30, 1957",3   (passengers:0  crew:3),?,0,"Near Campeche, Mexico",Transportes Aereos Mexicanos,XA-LIW,test flight,The cargo plane crashed en route.,?,1957,?
ACCIDENT DETAILS,Douglas DC-4,Douglas DC-4D-ALAF,10   (passengers:3  crew:7),"November 03, 1957",7   (passengers:0  crew:6),?,1,"Dusseldorf, West Germany",Herfurtner Company,D-ALAF,Düsseldorf - Reykjavik - New York,"Crashed shortly after taking off. The aircraft plunged into the suburb of Derendorf, setting afire an office building and crushing a small house. The lone occupant of the the house, an elderly woman, was killed",0703,1957,459
ACCIDENT DETAILS,Ilushin Il-14,Ilushin Il-14YR-PCC,16   (passengers:10  crew:6),"November 04, 1957",4   (passengers:1  crew:3),?,0,"Moscow, Russia",TAROM,YR-PCC,Bucharest - Kiev - Moscow,"The accident was the consequence of a succession of errors on part of the flying crew during the final approach that was continued at an insufficient altitude. The pilot-in-command took the decision to continue the approach procedure despite a warning message from ATC and because he established a visual contact with the runway lights. Due to low visibility and an insufficient height, this led the aircraft to struck trees and to crash.",1758,1957,1460 010 10
ACCIDENT DETAILS,Bristol Britannia 175,Bristol Britannia 175G-ANCA,15   (passengers:0  crew:15),"November 06, 1957",15   (passengers:0  crew:15),?,0,"Bristol, England",Bristol Aeroplane Co.,G-ANCA,Test flight,Crashed on a training flight. The right wing suddenly dropped and the aircraft went into a very steeply banked right hand turn and crashed. Instrument failure leading to loss of control. Undetermined cause. Possible failure of the auto-pilot.,?,1957,12917
ACCIDENT DETAILS,Boeing - 377-10-29 Stratocruiser,Boeing - 377-10-29 StratocruiserN90944,44   (passengers:36  crew:8),"November 08, 1957",44   (passengers:36  crew:8),7,0,"900 miles E of Honolulu, Hawaii, Pacific Ocean",Pan American World Airways,N90944,San Fransisco - Honolulu,"The aircraft disappeared mid-way on a flight between San Francisco and Honolulu. Wreckage was found 940 miles NE of Honolulu 5 days later. Officially, the cause was never determined.  Possible in-flight fire. High levels of carbon monoxide were found in the 19 bodies that were recovered, though this could have resulted from exposure to seawater. The aircraft was named ""Clipper Romance of the Skies.""",0127,1957,15960/40
ACCIDENT DETAILS,Short Solent 3 (flying boat),Short Solent 3 (flying boat)G-AKNU,58   (passengers:50  crew:8),"November 15, 1957",43   (passengers:35  crew:8),?,0,"Chessell Down, England",Aquilla Airways,G-AKNU,thampton - Lisbon - Funchal,"The plane crashed into the face of a quarry between Chessel and Brook on the Isle of Wight. The last message transmitted from the aircraft was ""No. 4 engine feathered. Coming back in a hurry.""  Electrical failure or accidental cut-off of the fuel actuator circuit of the No. 3 and No. 4 engines.",2254,1957,S-1299
ACCIDENT DETAILS,de Havilland DH-114 Heron 2D,de Havilland DH-114 Heron 2DEC-ANZ,4   (passengers:2  crew:2),"November 15, 1957",4   (passengers:2  crew:2),?,0,"Near Palma de Mallorca, Spain",Aviaco,EC-ANZ,Barcelona - Palma de Mallorca,"The aircraft hit a mountain at 1,500 feet while on approach after the pilot turned the wrong way. Weather was rain and turbulence. Pilot error.",2008,1957,14117
ACCIDENT DETAILS,Bristol 170 Freighter 31,Bristol 170 Freighter 31ZK-AYH,4   (passengers:2  crew:2),"November 21, 1957",4   (passengers:2  crew:2),?,0,"Christchurch, New Zealand",Straits Air Freight Express,ZK-AYH,Paraparaumu - Timaru,The cargo plane lost a wing in flight and crashed into farmlands. In-flight structural fatigue failure of the starboard front lower spar boom.,1133,1957,12828
ACCIDENT DETAILS,Douglas DC-4,Douglas DC-4LV-AHZ,61   (passengers:55  crew:6),"December 08, 1957",61   (passengers:55  crew:6),?,0,"Bolivar, Argentina",Aerolineas Argentinas,LV-AHZ,Buenos Aires - San Carlos,The plane crashed during a storm. Left wing detached in extreme turbulence. The pilot descending on a track well below the minimum safety flight altitude established for this type of operation. The absence in the flight plan of a forecast showing the intensity of the meteorological phenomena encountered. Inadequate operational dispatch of the aircraft.,1645,1957,27227
ACCIDENT DETAILS,Douglas C-47A,Douglas C-47ACF-GKV,10   (passengers:7  crew:3),"December 10, 1957",3   (passengers:3  crew:0),?,0,"Jeannine Lake, Quebec, Canada",Northern Wings,CF-GKV,Seven Islands - Jeannine Lake,Crashed during a landing attempt.,?,1957,13837/25282
ACCIDENT DETAILS,de Havilland Canada DHC-3 Otter,de Havilland Canada DHC-3 OtterPI-C55,12   (passengers:11  crew:1),"December 11, 1957",2   (passengers:1  crew:1),?,0,"Ozamis City, Philippines",Philippine Air Lines,PI-C55,Ozamis City - Pagadian,While taking off the plane stalled and hit trees. The uncontrollable stall at low altitude which resulted from the abrupt steep climb immediately after takeoff. Contributing factors were the improper loading of the aircraft and the prevailing gusty wind with a relatively high ambient temperature.,1312,1957,168
ACCIDENT DETAILS,Ilyushin IL-12,Ilyushin IL-12CCCP-L1309,27   (passengers:22  crew:5),"December 18, 1957",27   (passengers:22  crew:5),10,0,"Near Birobidzhan, Russia",Aeroflot,CCCP-L1309,Khabarovsk - Magdagachi - Irkutsk - Moscow,"In June 1958 the aircraft was found on the northwest slope of Mount Poktoy 30 km west of Birobidzhan completely destroyed and burned. Crews, ATC error.",1235,1957,30 015
ACCIDENT DETAILS,Avro 685 York C-1,Avro 685 York C-1G-AMUN,4   (passengers:0  crew:4),"December 23, 1957",4   (passengers:0  crew:4),?,0,"Stansted, England",Scottish Airlines,G-AMUN,Malta - London,The cargo plane crash landed short of the runway on the third landing attempt. The accident was due to an error on the part of the captain in that while making an attempt to land he continued the approach below the critical height without sufficient visual reference to the ground.,?,1957,MW321
ACCIDENT DETAILS,Lockheed WV-2,Lockheed WV-2143197,23   (passengers:19  crew:4),"December 23, 1957",19   (passengers:16  crew:3),?,0,"Off Oahu, Hawaii",Military - U.S. Navy,143197,?,"The aircraft lost all power during a simulated emergency maneuver and struck the water after descending from a altitude of 1,000 ft. One of the crew moved an emergency shut-off lever in the wrong direction depriving all four engines of their fuel supply. The plane hit the water and broke in two. It was ruled the check pilot had failed to initiate remedial action when the aircraft began to lose altitude and failed to exercise authority when the real emergency developed.",1600,1957,4471
ACCIDENT DETAILS,Short Sunderland,Short SunderlandLV-AAR,50   (passengers:44  crew:6),"December 31, 1957",9   (passengers:1  crew:8),?,0,"Buenos Aires, Argentina",Aerolineas Argentinas,LV-AAR,Buenos Aires - Rosario - Corrientes,The flying boat sank in Buenos Aires harbor while trying to make an emergency landing after losing an engine.,1257,1957,3
ACCIDENT DETAILS,Fairchild C-82A,Fairchild C-82APP-CEF,3   (passengers:0  crew:3),"January 16, 1958",3   (passengers:0  crew:3),?,0,"Belem, Brazil",Cruzeiro,PP-CEF,?,"The cargo plane lost the No. 1 engine on takeoff, dove into the ground and crashed and burned.",?,1958,10200
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3TAM-04,11   (passengers:8  crew:3),"January 20, 1958",11   (passengers:8  crew:3),?,0,"Near La Paz, Bolivia",TAM (Bolivia),TAM-04,Tipuani - La Paz,Crashed in mountainous terrain while en route.,?,1958,?
ACCIDENT DETAILS,Douglas DC-4,Douglas DC-4PP-LEM,73   (passengers:68  crew:5),"February 01, 1958",5   (passengers:3  crew:2),?,0,"Rio de Janeiro, Brazil",Loide Aéreo Nacional,PP-LEM,Rio de Janerio - Fortaleza,The plane abandoned the takeoff after an engine failed. The plane was unable to stop and slid off the runway striking rocks and catching fire. Failure of No. 4 engine. Malfunctioning of the starboard brakes.,?,1958,18336
ACCIDENT DETAILS,Douglas C-118A / Lockheed P2V-5F,Douglas C-118A / Lockheed P2V-5F53-3277A/127723,41   (passengers:35  crew:6),"February 01, 1958",41   (passengers:35  crew:6),?,1,"Norwalk, California",Military - U.S.  Air Force / Military - U.S. Navy,53-3277A/127723,Long Beach - McGuire AFB,"The two aircraft collided at an altitude of 3,000 feet scattering wreckage over a residential and business area of suburban Los Angeles. The C-118 had just taken off from Long Beach Municipal Airport on a transcontinental flight and the P2V was on an instrument training exercise. All 41 killed on the C-118A, six on the P2V and one woman on the ground who was hit by debris outside her house. Pilot error, pilots of both aircraft.",1915,1958,44622/
ACCIDENT DETAILS,Airspeed Ambassador AS-57,Airspeed Ambassador AS-57G-ALZU,44   (passengers:38  crew:6),"February 06, 1958",23   (passengers:21  crew:2),609,0,"Munich, Germany",British European Airways,G-ALZU,Belgrade - Munich - Manchester,"The first takeoff attempt ended in an aborted takeoff due to engine boosting. This was not uncommon with this type of aircraft at higher altitudes and was usually caused the thrust being opened too fast. The second attempt to take off was aborted for the same reason. During the third attempt, as the plane passed V1 (committed to take off) the plane suddenly decelerated, never became airborne, crashed through the barrier fence, into a house and burst into flames. Eight members of the Manchester United football (soccer) team killed. A German inquiry concluded at an accumulation of ice on the wings was the cause of the accident, blaming the captain for not deicing the plane. Ten years later the British reopened the inquiry and concluded the accident was caused by slush on the last quarter of the runway. The reason other planes had taken off without incident was because they lifted in the air using only two thirds of the runway. The accident plane, because of the engine boosting, went further down the runway to take off. The aircraft was named ""Lord Burghley.""",1603,1958,5217
ACCIDENT DETAILS,Douglas VC-47A,Douglas VC-47A42-93817,16   (passengers:14  crew:2),"February 15, 1958",16   (passengers:14  crew:2),?,0,"Mount Vesuvius, Italy",Military - US Air Force,42-93817,Ramstein - Naples - Turkey,"Radio contact was lost with the military aircraft  thirty minutes after taking off from Naples after the crew reported en route at 6,500 feet and switching to the Rome ATC. The plane crashed on the northern slopes of Mt. Vesuvius.",2224,1958,13771
ACCIDENT DETAILS,Douglas DC-6B,Douglas DC-6BPH-DFK,21   (passengers:13  crew:8),"February 19, 1958",1   (passengers:0  crew:1),543,0,"Cairo, Egypt",KLM Royal Dutch Airlines,PH-DFK,?,During the approach the aircraft hit a hill in front of R34 and crash landed with a damaged landing gear onto  the runway. An off duty  pilot opened an emergency exit before aircraft stopped and was thrown out into a still turning propeller and killed.,0114,1958,43552
